Fighting -> Rock -> Flying (<- 0.5x | 2x ->)
Fighting -> Dark/Ground -> Psychic/Normal (<- 1x | 2x ->)
Fighting -> Dark/Fire -> Psychic/Normal (<- 1x | 2x ->)
Fighting -> Dark/Water -> Psychic/Normal (<- 1x | 2x ->)
Fighting -> Dark/Grass -> Psychic/Normal (<- 1x | 2x ->)
Fighting -> Electric/Dark -> Psychic/Normal (<- 1x | 2x ->)
Fighting -> Dark/Dragon -> Psychic/Normal (<- 1x | 2x ->)
Fighting -> Steel/Fighting -> Fairy/Normal (<- 1x | 2x ->)
Fighting -> Dragon/Steel -> Fairy/Normal (<- 1x | 2x ->)
Fighting -> Rock/Fighting -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Rock/Fighting -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Steel/Fighting -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Steel/Fighting -> Flying/Ice (<- 1x | 2x ->)
Fighting -> Steel/Fighting -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Steel/Fighting -> Ice/Psychic (<- 1x | 2x ->)
Fighting -> Steel/Fighting -> Dark/Fairy (<- 1x | 2x ->)
Fighting -> Dark/Fighting -> Steel/Psychic (<- 1x | 2x ->)
Fighting -> Dark/Fighting -> Ice/Psychic (<- 1x | 2x ->)
Fighting -> Ice/Ground -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Rock/Water -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Rock/Grass -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Electric/Rock -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Rock/Dragon -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Steel/Fire -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Steel/Grass -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Dark/Water -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Electric/Dark -> Flying/Rock (<- 1x | 2x ->)
Fighting -> Rock/Fire -> Flying/Steel (<- 1x | 2x ->)
Fighting -> Electric/Rock -> Flying/Steel (<- 1x | 2x ->)
Fighting -> Ice/Fire -> Flying/Steel (<- 1x | 2x ->)
Fighting -> Dark/Fire -> Flying/Steel (<- 1x | 2x ->)
Fighting -> Electric/Ice -> Flying/Steel (<- 1x | 2x ->)
Fighting -> Steel/Ground -> Flying/Ice (<- 1x | 2x ->)
Fighting -> Steel/Grass -> Flying/Ice (<- 1x | 2x ->)
Fighting -> Dragon/Steel -> Flying/Ice (<- 1x | 2x ->)
Fighting -> Ice/Fire -> Flying/Ice (<- 1x | 2x ->)
Fighting -> Dark/Fire -> Flying/Ice (<- 1x | 2x ->)
Fighting -> Electric/Dark -> Flying/Ice (<- 1x | 2x ->)
Fighting -> Rock/Ground -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Ice/Ground -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Rock/Fire -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Rock/Water -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Rock/Grass -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Electric/Rock -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Rock/Dragon -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Electric/Steel -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Ice/Fire -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Ice/Water -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Electric/Ice -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Dragon/Ice -> Dark/Flying (<- 1x | 2x ->)
Fighting -> Rock/Ground -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Rock/Ground -> Rock/Fairy (<- 1x | 2x ->)
Fighting -> Steel/Ground -> Ice/Psychic (<- 1x | 2x ->)
Fighting -> Steel/Ground -> Dark/Fairy (<- 1x | 2x ->)
Fighting -> Ice/Ground -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Ice/Ground -> Rock/Fairy (<- 1x | 2x ->)
Fighting -> Dark/Ground -> Steel/Psychic (<- 1x | 2x ->)
Fighting -> Rock/Fire -> Steel/Psychic (<- 1x | 2x ->)
Fighting -> Rock/Fire -> Steel/Fairy (<- 1x | 2x ->)
Fighting -> Rock/Fire -> Ice/Psychic (<- 1x | 2x ->)
Fighting -> Rock/Water -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Rock/Water -> Rock/Fairy (<- 1x | 2x ->)
Fighting -> Rock/Water -> Ice/Psychic (<- 1x | 2x ->)
Fighting -> Rock/Water -> Ice/Fairy (<- 1x | 2x ->)
Fighting -> Rock/Grass -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Rock/Grass -> Rock/Fairy (<- 1x | 2x ->)
Fighting -> Electric/Rock -> Ice/Psychic (<- 1x | 2x ->)
Fighting -> Electric/Rock -> Ice/Fairy (<- 1x | 2x ->)
Fighting -> Steel/Fire -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Dark/Water -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Dark/Grass -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Electric/Dark -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Dark/Dragon -> Rock/Psychic (<- 1x | 2x ->)
Fighting -> Steel/Fire -> Dark/Fairy (<- 1x | 2x ->)
Fighting -> Steel/Water -> Dark/Fairy (<- 1x | 2x ->)
Fighting -> Steel/Grass -> Ice/Psychic (<- 1x | 2x ->)
Fighting -> Steel/Grass -> Dark/Fairy (<- 1x | 2x ->)
Fighting -> Electric/Steel -> Dark/Fairy (<- 1x | 2x ->)
Fighting -> Ice/Fire -> Steel/Psychic (<- 1x | 2x ->)
Fighting -> Dark/Grass -> Steel/Psychic (<- 1x | 2x ->)
Fighting -> Dark/Dragon -> Steel/Psychic (<- 1x | 2x ->)
Fighting -> Dragon/Steel -> Ice/Psychic (<- 1x | 2x ->)
Fighting -> Dragon/Steel -> Dark/Fairy (<- 1x | 2x ->)
Fighting -> Ice/Fire -> Steel/Fairy (<- 1x | 2x ->)
Fighting -> Dark/Fire -> Steel/Fairy (<- 1x | 2x ->)
Fighting -> Ice/Fire -> Ice/Psychic (<- 1x | 2x ->)
Fighting -> Dark/Fire -> Ice/Fairy (<- 1x | 2x ->)
Fighting -> Electric/Dark -> Ice/Psychic (<- 1x | 2x ->)
Flying -> Ground/Grass -> Rock (<- 0.5x | 2x ->)
Flying -> Grass -> Electric/Ground (<- 0.5x | 2x ->)
Flying -> Grass -> Electric/Water (<- 0.5x | 2x ->)
Flying -> Fighting/Normal -> Ice (<- 1x | 2x ->)
Flying -> Poison/Fighting -> Ice (<- 1x | 2x ->)
Flying -> Ghost/Fighting -> Ice (<- 1x | 2x ->)
Flying -> Fighting/Psychic -> Ice (<- 1x | 2x ->)
Flying -> Dark/Fighting -> Ice (<- 1x | 2x ->)
Flying -> Fighting/Fairy -> Ice (<- 1x | 2x ->)
Flying -> Fire/Grass -> Ice (<- 1x | 2x ->)
Flying -> Fighting/Normal -> Ice/Ground (<- 1x | 2x ->)
Flying -> Fighting/Normal -> Rock/Grass (<- 1x | 2x ->)
Flying -> Fighting/Normal -> Ice/Fire (<- 1x | 2x ->)
Flying -> Fighting/Normal -> Ice/Water (<- 1x | 2x ->)
Flying -> Fighting/Normal -> Dragon/Ice (<- 1x | 2x ->)
Flying -> Bug/Normal -> Electric/Grass (<- 1x | 2x ->)
Flying -> Bug/Normal -> Ice/Psychic (<- 1x | 2x ->)
Flying -> Bug/Normal -> Dark/Ice (<- 1x | 2x ->)
Flying -> Bug/Fire -> Ice/Normal (<- 1x | 2x ->)
Flying -> Fire/Grass -> Ice/Normal (<- 1x | 2x ->)
Flying -> Flying/Fighting -> Rock/Fighting (<- 1x | 2x ->)
Flying -> Flying/Fighting -> Rock/Grass (<- 1x | 2x ->)
Flying -> Poison/Fighting -> Ice/Fire (<- 1x | 2x ->)
Flying -> Poison/Fighting -> Ice/Water (<- 1x | 2x ->)
Flying -> Poison/Fighting -> Electric/Grass (<- 1x | 2x ->)
Flying -> Poison/Fighting -> Dragon/Ice (<- 1x | 2x ->)
Flying -> Poison/Fighting -> Ice/Fairy (<- 1x | 2x ->)
Flying -> Fighting/Ground -> Electric/Dark (<- 0.5x | 2x ->)
Flying -> Fighting/Fire -> Rock/Fighting (<- 1x | 2x ->)
Flying -> Fighting/Water -> Rock/Fighting (<- 1x | 2x ->)
Flying -> Dragon/Fighting -> Rock/Fighting (<- 1x | 2x ->)
Flying -> Poison/Grass -> Rock/Fighting (<- 1x | 2x ->)
Flying -> Ghost/Grass -> Rock/Fighting (<- 1x | 2x ->)
Flying -> Water/Grass -> Rock/Fighting (<- 1x | 2x ->)
Flying -> Psychic/Grass -> Rock/Fighting (<- 1x | 2x ->)
Flying -> Dragon/Grass -> Rock/Fighting (<- 1x | 2x ->)
Flying -> Fairy/Grass -> Rock/Fighting (<- 1x | 2x ->)
Flying -> Ghost/Fighting -> Ice/Ground (<- 1x | 2x ->)
Flying -> Ghost/Fighting -> Rock/Grass (<- 1x | 2x ->)
Flying -> Ghost/Fighting -> Ice/Fire (<- 1x | 2x ->)
Flying -> Ghost/Fighting -> Ice/Water (<- 1x | 2x ->)
Flying -> Ghost/Fighting -> Dragon/Ice (<- 1x | 2x ->)
Flying -> Fighting/Fire -> Poison/Ice (<- 1x | 2x ->)
Flying -> Fighting/Fire -> Rock/Grass (<- 1x | 2x ->)
Flying -> Fighting/Fire -> Bug/Electric (<- 1x | 2x ->)
Flying -> Fighting/Fire -> Ghost/Ice (<- 1x | 2x ->)
Flying -> Fighting/Fire -> Electric/Grass (<- 1x | 2x ->)
Flying -> Fighting/Fire -> Dragon/Ice (<- 1x | 2x ->)
Flying -> Fighting/Fire -> Ice/Fairy (<- 1x | 2x ->)
Flying -> Fighting/Water -> Ice/Ground (<- 1x | 2x ->)
Flying -> Fighting/Water -> Dragon/Ice (<- 1x | 2x ->)
Flying -> Fighting/Psychic -> Electric/Fighting (<- 1x | 2x ->)
Flying -> Fighting/Fairy -> Electric/Fighting (<- 1x | 2x ->)
Flying -> Bug/Psychic -> Electric/Fighting (<- 1x | 2x ->)
Flying -> Bug/Fairy -> Electric/Fighting (<- 1x | 2x ->)
Flying -> Fighting/Psychic -> Poison/Ice (<- 1x | 2x ->)
Flying -> Fighting/Psychic -> Ice/Ground (<- 1x | 2x ->)
Flying -> Fighting/Psychic -> Rock/Grass (<- 1x | 2x ->)
Flying -> Fighting/Psychic -> Ice/Fire (<- 1x | 2x ->)
Flying -> Fighting/Psychic -> Ice/Water (<- 1x | 2x ->)
Flying -> Fighting/Psychic -> Dragon/Ice (<- 1x | 2x ->)
Flying -> Ice/Fighting -> Ice/Fighting (<- 2x | 2x ->)
Flying -> Dark/Fighting -> Ice/Ground (<- 1x | 2x ->)
Flying -> Dark/Fighting -> Rock/Grass (<- 1x | 2x ->)
Flying -> Dark/Fighting -> Ghost/Ice (<- 1x | 2x ->)
Flying -> Dark/Fighting -> Ice/Fire (<- 1x | 2x ->)
Flying -> Dark/Fighting -> Ice/Water (<- 1x | 2x ->)
Flying -> Dark/Fighting -> Ice/Psychic (<- 1x | 2x ->)
Flying -> Dark/Fighting -> Dragon/Ice (<- 1x | 2x ->)
Flying -> Fighting/Fairy -> Ice/Ground (<- 1x | 2x ->)
Flying -> Fighting/Fairy -> Rock/Grass (<- 1x | 2x ->)
Flying -> Fighting/Fairy -> Ice/Fire (<- 1x | 2x ->)
Flying -> Fighting/Fairy -> Ice/Water (<- 1x | 2x ->)
Flying -> Fighting/Fairy -> Dragon/Ice (<- 1x | 2x ->)
Flying -> Bug/Poison -> Electric/Grass (<- 1x | 2x ->)
Flying -> Bug/Poison -> Dark/Ice (<- 1x | 2x ->)
Flying -> Bug/Poison -> Ice/Fairy (<- 1x | 2x ->)
Flying -> Bug/Fire -> Poison/Ice (<- 1x | 2x ->)
Flying -> Bug/Psychic -> Poison/Ice (<- 1x | 2x ->)
Flying -> Bug/Ground -> Electric/Ground (<- 0.5x | 2x ->)
Flying -> Ground/Grass -> Electric/Ground (<- 0.5x | 2x ->)
Flying -> Bug/Fire -> Ice/Ground (<- 1x | 2x ->)
Flying -> Fire/Grass -> Ice/Ground (<- 1x | 2x ->)
Flying -> Water/Grass -> Ice/Ground (<- 1x | 2x ->)
Flying -> Bug/Ghost -> Electric/Grass (<- 1x | 2x ->)
Flying -> Bug/Ghost -> Ice/Psychic (<- 1x | 2x ->)
Flying -> Bug/Fire -> Bug/Electric (<- 1x | 2x ->)
Flying -> Bug/Fire -> Ghost/Ice (<- 1x | 2x ->)
Flying -> Bug/Fire -> Electric/Grass (<- 1x | 2x ->)
Flying -> Bug/Fire -> Ice/Psychic (<- 1x | 2x ->)
Flying -> Bug/Fire -> Dark/Ice (<- 1x | 2x ->)
Flying -> Bug/Water -> Ice/Fire (<- 1x | 2x ->)
Flying -> Bug/Water -> Ice/Psychic (<- 1x | 2x ->)
Flying -> Bug/Water -> Dark/Ice (<- 1x | 2x ->)
Flying -> Fire/Grass -> Bug/Electric (<- 1x | 2x ->)
Flying -> Bug/Psychic -> Electric/Grass (<- 1x | 2x ->)
Flying -> Bug/Psychic -> Ice/Psychic (<- 1x | 2x ->)
Flying -> Bug/Dark -> Ghost/Ice (<- 1x | 2x ->)
Flying -> Bug/Dark -> Electric/Grass (<- 1x | 2x ->)
Flying -> Bug/Dark -> Ice/Psychic (<- 1x | 2x ->)
Flying -> Bug/Dark -> Dark/Ice (<- 1x | 2x ->)
Flying -> Bug/Fairy -> Electric/Grass (<- 1x | 2x ->)
Flying -> Bug/Fairy -> Ice/Psychic (<- 1x | 2x ->)
Flying -> Bug/Fairy -> Dragon/Ice (<- 1x | 2x ->)
Flying -> Bug/Fairy -> Dark/Ice (<- 1x | 2x ->)
Flying -> Fire/Grass -> Ghost/Ice (<- 1x | 2x ->)
Flying -> Fire/Grass -> Ice/Water (<- 1x | 2x ->)
Flying -> Fire/Grass -> Ice/Psychic (<- 1x | 2x ->)
Flying -> Fire/Grass -> Dark/Ice (<- 1x | 2x ->)
Flying -> Fire/Grass -> Ice/Fairy (<- 1x | 2x ->)
Flying -> Water/Grass -> Ice/Fire (<- 1x | 2x ->)
Flying -> Water/Grass -> Ice/Water (<- 1x | 2x ->)
Poison -> Grass -> Ground (<- 0.5x | 2x ->)
Poison -> Fighting/Grass -> Ground (<- 0.5x | 2x ->)
Poison -> Grass -> Electric/Ground (<- 0.5x | 2x ->)
Poison -> Normal/Grass -> Fairy/Ground (<- 1x | 2x ->)
Poison -> Normal/Grass -> Psychic/Water (<- 1x | 2x ->)
Poison -> Dark/Grass -> Psychic/Normal (<- 1x | 2x ->)
Poison -> Dark/Fairy -> Psychic/Normal (<- 1x | 2x ->)
Poison -> Fairy/Normal -> Fighting/Psychic (<- 1x | 2x ->)
Poison -> Fairy/Normal -> Dragon/Psychic (<- 1x | 2x ->)
Poison -> Fairy/Normal -> Dark/Psychic (<- 1x | 2x ->)
Poison -> Bug/Grass -> Fighting/Ground (<- 0.5x | 2x ->)
Poison -> Bug/Fairy -> Fighting/Ground (<- 0.5x | 2x ->)
Poison -> Fighting/Grass -> Electric/Ground (<- 0.5x | 2x ->)
Poison -> Fighting/Grass -> Dark/Ground (<- 0.5x | 2x ->)
Poison -> Flying/Grass -> Fighting/Psychic (<- 1x | 2x ->)
Poison -> Flying/Fairy -> Fighting/Psychic (<- 1x | 2x ->)
Poison -> Fire/Fairy -> Fighting/Psychic (<- 1x | 2x ->)
Poison -> Fairy/Water -> Fighting/Psychic (<- 1x | 2x ->)
Poison -> Electric/Fairy -> Fighting/Psychic (<- 1x | 2x ->)
Poison -> Ice/Fairy -> Fighting/Psychic (<- 1x | 2x ->)
Poison -> Dragon/Fairy -> Fighting/Psychic (<- 1x | 2x ->)
Poison -> Dark/Fairy -> Fighting/Psychic (<- 1x | 2x ->)
Poison -> Flying/Grass -> Fairy/Ground (<- 1x | 2x ->)
Poison -> Flying/Grass -> Bug/Psychic (<- 1x | 2x ->)
Poison -> Flying/Grass -> Psychic/Water (<- 1x | 2x ->)
Poison -> Electric/Grass -> Flying/Psychic (<- 1x | 2x ->)
Poison -> Electric/Fairy -> Flying/Psychic (<- 1x | 2x ->)
Poison -> Ice/Fairy -> Flying/Psychic (<- 1x | 2x ->)
Poison -> Dark/Fairy -> Flying/Psychic (<- 1x | 2x ->)
Poison -> Flying/Fairy -> Bug/Psychic (<- 1x | 2x ->)
Poison -> Flying/Fairy -> Dragon/Psychic (<- 1x | 2x ->)
Poison -> Flying/Fairy -> Dark/Psychic (<- 1x | 2x ->)
Poison -> Fire/Grass -> Ground/Grass (<- 1x | 2x ->)
Poison -> Bug/Grass -> Electric/Ground (<- 0.5x | 2x ->)
Poison -> Bug/Fairy -> Dragon/Ground (<- 0.5x | 2x ->)
Poison -> Bug/Fairy -> Dark/Ground (<- 0.5x | 2x ->)
Poison -> Fire/Grass -> Fairy/Ground (<- 1x | 2x ->)
Poison -> Water/Grass -> Fairy/Ground (<- 1x | 2x ->)
Poison -> Fairy/Water -> Fairy/Ground (<- 1x | 2x ->)
Poison -> Electric/Grass -> Fairy/Ground (<- 1x | 2x ->)
Poison -> Ice/Grass -> Fairy/Ground (<- 1x | 2x ->)
Poison -> Ice/Fairy -> Fairy/Ground (<- 1x | 2x ->)
Poison -> Fire/Grass -> Bug/Psychic (<- 1x | 2x ->)
Poison -> Fire/Fairy -> Bug/Psychic (<- 1x | 2x ->)
Poison -> Dark/Fairy -> Bug/Psychic (<- 1x | 2x ->)
Poison -> Fire/Grass -> Psychic/Water (<- 1x | 2x ->)
Poison -> Fire/Grass -> Ice/Psychic (<- 1x | 2x ->)
Poison -> Water/Grass -> Fire/Psychic (<- 1x | 2x ->)
Poison -> Fairy/Water -> Fire/Psychic (<- 1x | 2x ->)
Poison -> Dark/Fairy -> Fire/Psychic (<- 1x | 2x ->)
Poison -> Fire/Fairy -> Ice/Psychic (<- 1x | 2x ->)
Poison -> Fire/Fairy -> Dragon/Psychic (<- 1x | 2x ->)
Poison -> Fire/Fairy -> Dark/Psychic (<- 1x | 2x ->)
Poison -> Water/Grass -> Psychic/Water (<- 1x | 2x ->)
Poison -> Electric/Grass -> Psychic/Water (<- 1x | 2x ->)
Poison -> Ice/Grass -> Psychic/Water (<- 1x | 2x ->)
Poison -> Dragon/Grass -> Psychic/Water (<- 1x | 2x ->)
Poison -> Electric/Fairy -> Psychic/Water (<- 1x | 2x ->)
Poison -> Dark/Fairy -> Psychic/Water (<- 1x | 2x ->)
Poison -> Fairy/Water -> Dragon/Psychic (<- 1x | 2x ->)
Poison -> Fairy/Water -> Dark/Psychic (<- 1x | 2x ->)
Poison -> Ice/Grass -> Dragon/Psychic (<- 1x | 2x ->)
Poison -> Dark/Grass -> Dragon/Psychic (<- 1x | 2x ->)
Poison -> Dark/Fairy -> Electric/Psychic (<- 1x | 2x ->)
Poison -> Electric/Fairy -> Dragon/Psychic (<- 1x | 2x ->)
Poison -> Electric/Fairy -> Dark/Psychic (<- 1x | 2x ->)
Poison -> Dark/Fairy -> Ice/Psychic (<- 1x | 2x ->)
Poison -> Ice/Fairy -> Dragon/Psychic (<- 1x | 2x ->)
Poison -> Dragon/Fairy -> Dragon/Psychic (<- 1x | 2x ->)
Poison -> Ice/Fairy -> Dark/Psychic (<- 1x | 2x ->)
Poison -> Dragon/Fairy -> Dark/Psychic (<- 1x | 2x ->)
Ground -> Steel -> Ghost/Ice (<- 1x | 2x ->)
Ground -> Steel -> Dark/Ice (<- 1x | 2x ->)
Ground -> Fire -> Ice/Normal (<- 1x | 2x ->)
Ground -> Fire -> Ice/Fighting (<- 1x | 2x ->)
Ground -> Fire -> Poison/Grass (<- 1x | 2x ->)
Ground -> Fire -> Ghost/Ice (<- 1x | 2x ->)
Ground -> Fire -> Electric/Grass (<- 1x | 2x ->)
Ground -> Fire -> Ice/Psychic (<- 1x | 2x ->)
Ground -> Fire -> Dark/Ice (<- 1x | 2x ->)
Ground -> Electric/Normal -> Water (<- 1x | 2x ->)
Ground -> Electric/Fighting -> Water (<- 1x | 2x ->)
Ground -> Ghost/Electric -> Water (<- 1x | 2x ->)
Ground -> Electric/Psychic -> Water (<- 1x | 2x ->)
Ground -> Electric/Dark -> Water (<- 1x | 2x ->)
Ground -> Electric/Fairy -> Water (<- 1x | 2x ->)
Ground -> Rock/Normal -> Ice (<- 1x | 2x ->)
Ground -> Poison/Fighting -> Ice (<- 1x | 2x ->)
Ground -> Rock/Fighting -> Ice (<- 1x | 2x ->)
Ground -> Electric/Fighting -> Ice (<- 1x | 2x ->)
Ground -> Steel/Ground -> Ice (<- 1x | 2x ->)
Ground -> Fire/Ground -> Ice (<- 1x | 2x ->)
Ground -> Ghost/Rock -> Ice (<- 1x | 2x ->)
Ground -> Rock/Psychic -> Ice (<- 1x | 2x ->)
Ground -> Dark/Rock -> Ice (<- 1x | 2x ->)
Ground -> Rock/Fairy -> Ice (<- 1x | 2x ->)
Ground -> Dragon/Steel -> Ice (<- 1x | 2x ->)
Ground -> Dragon/Fire -> Ice (<- 1x | 2x ->)
Ground -> Poison/Normal -> Fire/Grass (<- 1x | 2x ->)
Ground -> Poison/Normal -> Fairy/Water (<- 1x | 2x ->)
Ground -> Poison/Normal -> Electric/Grass (<- 1x | 2x ->)
Ground -> Poison/Normal -> Ice/Fairy (<- 1x | 2x ->)
Ground -> Rock/Normal -> Ice/Normal (<- 1x | 2x ->)
Ground -> Rock/Normal -> Ghost/Ice (<- 1x | 2x ->)
Ground -> Rock/Normal -> Ice/Psychic (<- 1x | 2x ->)
Ground -> Rock/Normal -> Dragon/Ice (<- 1x | 2x ->)
Ground -> Rock/Normal -> Dark/Ice (<- 1x | 2x ->)
Ground -> Rock/Normal -> Ice/Fairy (<- 1x | 2x ->)
Ground -> Steel/Normal -> Dark/Ice (<- 1x | 2x ->)
Ground -> Fire/Normal -> Ice/Normal (<- 1x | 2x ->)
Ground -> Fire/Normal -> Poison/Grass (<- 1x | 2x ->)
Ground -> Fire/Normal -> Electric/Grass (<- 1x | 2x ->)
Ground -> Fire/Normal -> Ice/Psychic (<- 1x | 2x ->)
Ground -> Fire/Normal -> Dark/Ice (<- 1x | 2x ->)
Ground -> Electric/Normal -> Water/Normal (<- 1x | 2x ->)
Ground -> Poison/Fighting -> Water/Normal (<- 1x | 2x ->)
Ground -> Steel/Fighting -> Water/Normal (<- 1x | 2x ->)
Ground -> Electric/Fighting -> Water/Normal (<- 1x | 2x ->)
Ground -> Ghost/Electric -> Water/Normal (<- 1x | 2x ->)
Ground -> Electric/Psychic -> Water/Normal (<- 1x | 2x ->)
Ground -> Electric/Dragon -> Water/Normal (<- 1x | 2x ->)
Ground -> Electric/Dark -> Water/Normal (<- 1x | 2x ->)
Ground -> Electric/Fairy -> Water/Normal (<- 1x | 2x ->)
Ground -> Electric/Normal -> Ghost/Water (<- 1x | 2x ->)
Ground -> Electric/Normal -> Psychic/Water (<- 1x | 2x ->)
Ground -> Electric/Normal -> Ice/Water (<- 1x | 2x ->)
Ground -> Electric/Normal -> Dark/Water (<- 1x | 2x ->)
Ground -> Electric/Normal -> Fairy/Water (<- 1x | 2x ->)
Ground -> Steel/Ground -> Ice/Normal (<- 1x | 2x ->)
Ground -> Fire/Ground -> Ice/Normal (<- 1x | 2x ->)
Ground -> Ghost/Rock -> Ice/Normal (<- 1x | 2x ->)
Ground -> Rock/Psychic -> Ice/Normal (<- 1x | 2x ->)
Ground -> Dark/Rock -> Ice/Normal (<- 1x | 2x ->)
Ground -> Rock/Fairy -> Ice/Normal (<- 1x | 2x ->)
Ground -> Dragon/Steel -> Ice/Normal (<- 1x | 2x ->)
Ground -> Fire/Psychic -> Ice/Normal (<- 1x | 2x ->)
Ground -> Dragon/Fire -> Ice/Normal (<- 1x | 2x ->)
Ground -> Dark/Fire -> Ice/Normal (<- 1x | 2x ->)
Ground -> Fire/Fairy -> Ice/Normal (<- 1x | 2x ->)
Ground -> Poison/Fighting -> Ice/Fighting (<- 1x | 2x ->)
Ground -> Poison/Fighting -> Steel/Grass (<- 1x | 2x ->)
Ground -> Poison/Fighting -> Fire/Grass (<- 1x | 2x ->)
Ground -> Poison/Fighting -> Ice/Water (<- 1x | 2x ->)
Ground -> Poison/Fighting -> Dark/Water (<- 1x | 2x ->)
Ground -> Poison/Fighting -> Fairy/Water (<- 1x | 2x ->)
Ground -> Poison/Fighting -> Electric/Grass (<- 1x | 2x ->)
Ground -> Poison/Fighting -> Dragon/Ice (<- 1x | 2x ->)
Ground -> Poison/Fighting -> Ice/Fairy (<- 1x | 2x ->)
Ground -> Rock/Fighting -> Ghost/Ice (<- 1x | 2x ->)
Ground -> Rock/Fighting -> Dragon/Ice (<- 1x | 2x ->)
Ground -> Steel/Fighting -> Ghost/Ice (<- 1x | 2x ->)
Ground -> Steel/Fighting -> Ice/Water (<- 1x | 2x ->)
Ground -> Steel/Fighting -> Dark/Water (<- 1x | 2x ->)
Ground -> Steel/Fighting -> Ice/Psychic (<- 1x | 2x ->)
Ground -> Fighting/Fire -> Ice/Fighting (<- 1x | 2x ->)
Ground -> Fighting/Fire -> Poison/Grass (<- 1x | 2x ->)
Ground -> Fighting/Fire -> Rock/Grass (<- 1x | 2x ->)
Ground -> Fighting/Fire -> Ghost/Ice (<- 1x | 2x ->)
Ground -> Fighting/Fire -> Electric/Grass (<- 1x | 2x ->)
Ground -> Fighting/Fire -> Dragon/Ice (<- 1x | 2x ->)
Ground -> Fighting/Fire -> Ice/Fairy (<- 1x | 2x ->)
